comparison	method	gene_id	fold0_p_value	fold1_p_value	conjunction_p_value	conjunction_q_value	shared_block_tests
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000035901	8.98390058407387e-05	5.050210826215972e-18	8.98390058407387e-05	0.00041694512967112063	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036054	0.3699232102273886	0.8184571046930911	0.8184571046930911	0.9244351697313541	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036095	0.0105304454715022	0.0030978401223915	0.0105304454715022	0.03025413698955394	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036158	5.340712009122643e-07	0.0236276857510114	0.0236276857510114	0.06002261222362194	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036333	0.5733264841382119	0.0834579323761219	0.5733264841382119	0.7359722952412506	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036564	0.2724886509225541	0.0053604650580815	0.2724886509225541	0.4326354896226517	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036565	0.0573346700594154	0.827090618969159	0.827090618969159	0.9312808835671401	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036591	2.896800154406976e-11	5.594350656846498e-09	5.594350656846498e-09	4.3551719092009296e-08	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036617	0.0002276344911236	0.0678201811778025	0.0678201811778025	0.14134036072832026	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036622	0.0406898189199332	8.005883871403765e-47	0.0406898189199332	0.09206071530634888	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036667	0.0016193516977366	3.4833662672004623e-06	0.0016193516977366	0.005804013015649992	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000036707	6.903747742513368e-25	0.5812563889668656	0.5812563889668656	0.7386732746747166	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037217	0.3987950341344631	0.3361877883697422	0.3987950341344631	0.5694824550559198	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037270	0.0519119466168801	0.2708956744217974	0.2708956744217974	0.4326354896226517	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037306	0.7068191064979771	0.6602053458204351	0.7068191064979771	0.8343159978650742	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037364	0.5264741478810531	0.0067379854136404	0.5264741478810531	0.7002360546373436	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037386	0.0276894777211161	0.000874580381353	0.0276894777211161	0.06723864173601855	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037428	0.8793692186291194	0.1163178933574589	0.8793692186291194	0.9474156462611345	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037487	0.1733950683382728	0.305105823352707	0.305105823352707	0.4670118733770821	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037541	6.6154965174027285e-15	0.0028336014658154	0.0028336014658154	0.009412056753388246	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037703	0.0874236546331884	0.0030872318154564	0.0874236546331884	0.17391488208679262	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037736	2.7673744556795403e-09	0.4350570977053427	0.4350570977053427	0.6116142499779963	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000037989	0.0036142391550749997	2.3250640213383014e-17	0.0036142391550749997	0.011322983351837582	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038034	0.0002223986798738	3.0857908029567687e-06	0.0002223986798738	0.0009584324061228048	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038084	0.007379690462709	0.9004619608710138	0.9004619608710138	0.9629755681988391	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038095	0.1488252586658042	0.2591899306379507	0.2591899306379507	0.41793654739838826	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038141	0.0271891658316048	0.2778719535495053	0.2778719535495053	0.4382991162741652	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038143	1.916253016092185e-15	5.336310439374539e-09	5.336310439374539e-09	4.245592041876007e-08	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038170	0.2504346551358556	0.274063513114179	0.274063513114179	0.4332357718224139	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038244	2.379784976392286e-17	3.722019431148505e-32	2.379784976392286e-17	4.922755208308614e-16	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038296	2.3084338865687006e-10	8.507837379559285e-11	2.3084338865687006e-10	2.1155773846528344e-09	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038342	0.0030942681320295	0.0349324413623694	0.0349324413623694	0.08106117803319053	948
Isoform-space EC GLMM vs Estimate-once path Wald	Estimate-once path Wald	ENSMUSG00000038384	0.0883363618757345	0.8597311191234848	0.8597311191234848	0.9462069169064129	948
