test_id	null_type	replicates	observed_statistic	empirical_p_value	observed_mixture_log_bayes_factor	empirical_bf_p_value
ENSMUSG00000025142.19:B2	wild_cluster	32	0.0	1.0	-2.4424906541753444e-15	1.0
ENSMUSG00000025153.10:B1	label_permutation	32	5.121236843323004	0.3333333333333333	-1.1103115895889173	0.18181818181818182
ENSMUSG00000025153.10:B1	wild_cluster	32	5.121236843323004	0.09090909090909091	-1.1103115895889173	0.030303030303030304
ENSMUSG00000025162.19:B1	label_permutation	32	9.785204611034716e-06	0.7878787878787878	-1.560627183039287e-07	0.030303030303030304
ENSMUSG00000025162.19:B1	wild_cluster	32	9.785204611034716e-06	0.3939393939393939	-1.560627183039287e-07	0.45454545454545453
ENSMUSG00000025162.19:B2	label_permutation	32	5.334601019058027e-05	0.7272727272727273	-0.1533265024079364	0.8787878787878788
ENSMUSG00000025162.19:B2	wild_cluster	32	5.334601019058027e-05	0.3939393939393939	-0.1533265024079364	0.18181818181818182
ENSMUSG00000025189.10:B1	label_permutation	32	4.936331115149642	0.5757575757575758	-0.918630278167813	0.48484848484848486
ENSMUSG00000025189.10:B1	wild_cluster	32	4.936331115149642	0.3333333333333333	-0.918630278167813	0.3333333333333333
ENSMUSG00000025198.17:B1	label_permutation	32	0.4711463133380675	0.6666666666666666	-0.9700424493636712	0.3939393939393939
ENSMUSG00000025198.17:B1	wild_cluster	32	0.4711463133380675	0.7575757575757576	-0.9700424493636712	0.48484848484848486
ENSMUSG00000025207.17:B1	label_permutation	32	2.398192661048085	0.09090909090909091	-0.4404608141038519	0.030303030303030304
ENSMUSG00000025207.17:B1	wild_cluster	32	2.398192661048085	0.09090909090909091	-0.4404608141038519	0.18181818181818182
ENSMUSG00000025212.18:B1	label_permutation	32	2.682395428342602	0.45454545454545453	-0.9214182576976676	0.3939393939393939
ENSMUSG00000025212.18:B1	wild_cluster	32	2.682395428342602	0.30303030303030304	-0.9214182576976676	0.2727272727272727
ENSMUSG00000025217.16:B1	label_permutation	32	10.932800465181913	0.06060606060606061	2.239106195608413	0.06060606060606061
ENSMUSG00000025220.9:B1	label_permutation	32	1.0505527320514716	1.0	-1.2371267783178537	0.5454545454545454
ENSMUSG00000025220.9:B1	wild_cluster	32	1.0505527320514716	0.5757575757575758	-1.2371267783178537	0.5151515151515151
ENSMUSG00000025221.17:B1	label_permutation	32	11.902881836729309	0.09090909090909091	0.8084025868337423	0.12121212121212122
ENSMUSG00000025221.17:B1	wild_cluster	32	11.902881836729309	0.030303030303030304	0.8084025868337423	0.06060606060606061
ENSMUSG00000025223.16:B1	label_permutation	32	4.20167134534654	0.9393939393939394	-0.6169672982433436	0.7272727272727273
ENSMUSG00000025223.16:B1	wild_cluster	32	4.20167134534654	0.5151515151515151	-0.6169672982433436	0.42424242424242425
ENSMUSG00000025227.15:B1	label_permutation	32	2.273736754432321e-12	1.0	-5.7358005012275726e-09	0.030303030303030304
ENSMUSG00000025227.15:B1	wild_cluster	32	2.273736754432321e-12	0.5454545454545454	-5.7358005012275726e-09	1.0
ENSMUSG00000025228.6:B1	label_permutation	32	0.7808045884911508	0.7575757575757576	-0.5180372173961525	0.21212121212121213
ENSMUSG00000025228.6:B1	wild_cluster	32	0.7808045884911508	0.7272727272727273	-0.5180372173961525	0.8484848484848485
ENSMUSG00000025231.18:B1	label_permutation	32	0.19051351663893	0.8484848484848485	-0.0171034820197806	0.12121212121212122
ENSMUSG00000025231.18:B1	wild_cluster	32	0.19051351663893	0.21212121212121213	-0.0171034820197806	0.18181818181818182
