null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
wild_cluster	24	>20	1333	0.9759939984996249	0.9752438109527382	3.303802752605222e-35
wild_cluster	25	11-20	33	1.0	1.0	2.4903770536776902e-21
wild_cluster	25	>20	32	1.0	1.0	8.940646557041867e-45
wild_cluster	26	11-20	14	0.9285714285714286	0.9285714285714286	3.787295875487432e-37
wild_cluster	26	>20	1	1.0	1.0	3.5269760022996872e-25
wild_cluster	27	11-20	18	0.6111111111111112	0.6111111111111112	3.28283094622314e-34
wild_cluster	27	>20	287	0.9477351916376306	0.9477351916376306	8.954051168461139e-36
wild_cluster	28	>20	64	1.0	1.0	6.794362377275542e-33
wild_cluster	30	>20	256	0.88671875	0.88671875	6.2786240814076815e-56
wild_cluster	31	>20	22	1.0	1.0	4.676026776865022e-64
wild_cluster	32	1-5	32	0.53125	0.53125	5.912598574024381e-08
wild_cluster	32	>20	170	0.9294117647058824	0.9294117647058824	5.531209955701514e-49
wild_cluster	33	>20	192	1.0	1.0	4.973569986541246e-61
wild_cluster	35	>20	67	0.7014925373134329	0.7014925373134329	1.106266258462811e-56
wild_cluster	36	>20	157	0.9363057324840764	0.9363057324840764	1.1565270814000587e-54
wild_cluster	39	11-20	1	0.0	0.0	1.0
wild_cluster	39	>20	8	0.625	0.625	5.509270396460767e-74
wild_cluster	40	11-20	31	0.4838709677419355	0.4838709677419355	1.0
wild_cluster	40	>20	216	0.8009259259259259	0.8009259259259259	2.4059370904568972e-74
wild_cluster	44	6-10	4	0.5	0.5	0.5
wild_cluster	44	>20	32	1.0	1.0	6.1900155582809684e-61
wild_cluster	45	6-10	7	0.5714285714285714	0.5714285714285714	2.8660056883770604e-25
wild_cluster	46	6-10	4	0.5	0.5	0.5
wild_cluster	47	6-10	9	0.7777777777777778	0.7777777777777778	3.663597874478658e-23
wild_cluster	47	>20	32	1.0	1.0	6.1393099281002455e-87
wild_cluster	48	6-10	7	0.42857142857142855	0.42857142857142855	1.0
wild_cluster	49	6-10	1	1.0	1.0	4.192038471835034e-18
wild_cluster	50	>20	24	0.75	0.75	1.584028619809643e-50
wild_cluster	51	>20	7	1.0	1.0	6.1391747198161505e-55
wild_cluster	54	>20	1	0.0	0.0	1.0
wild_cluster	72	6-10	1	0.0	0.0	1.0
wild_cluster	73	6-10	1	0.0	0.0	1.0
wild_cluster	74	6-10	3	0.3333333333333333	0.3333333333333333	1.0
wild_cluster	75	6-10	3	0.0	0.0	1.0
wild_cluster	76	6-10	11	0.6363636363636364	0.6363636363636364	1.870624171368892e-26
wild_cluster	77	6-10	6	0.6666666666666666	0.6666666666666666	8.589315303748088e-30
