subject	cell_type	primer	cells
C_2	EX_hippocampus_granule	random hexamer	8
C_2	EX_hippocampus_pyramidal	poly(dT)	30
C_2	EX_hippocampus_pyramidal	random hexamer	30
C_2	EX_thalamus	poly(dT)	2
C_2	EX_thalamus	random hexamer	8
C_2	INH_medium_spiny	poly(dT)	160
C_2	INH_medium_spiny	random hexamer	150
C_2	INH_midbrain	poly(dT)	52
C_2	INH_midbrain	random hexamer	46
C_2	INH_migrating_interneuron	poly(dT)	182
C_2	INH_migrating_interneuron	random hexamer	194
C_2	ODC	poly(dT)	30
C_2	ODC	random hexamer	14
C_3	ASC	poly(dT)	22
C_3	ASC	random hexamer	24
C_3	EX_cerebellum_granule	poly(dT)	38
C_3	EX_cerebellum_granule	random hexamer	32
C_3	EX_cortical	poly(dT)	203
C_3	EX_cortical	random hexamer	252
C_3	EX_hippocampus_granule	random hexamer	16
C_3	EX_hippocampus_pyramidal	poly(dT)	14
C_3	EX_hippocampus_pyramidal	random hexamer	22
C_3	EX_thalamus	poly(dT)	10
C_3	EX_thalamus	random hexamer	16
C_3	INH_medium_spiny	poly(dT)	76
C_3	INH_medium_spiny	random hexamer	70
C_3	INH_midbrain	poly(dT)	30
C_3	INH_midbrain	random hexamer	38
C_3	INH_migrating_interneuron	poly(dT)	90
C_3	INH_migrating_interneuron	random hexamer	112
C_3	ODC	poly(dT)	32
C_3	ODC	random hexamer	12
C_4	ASC	poly(dT)	102
C_4	ASC	random hexamer	106
C_4	EX_cerebellum_granule	poly(dT)	28
C_4	EX_cerebellum_granule	random hexamer	24
C_4	EX_cortical	poly(dT)	696
C_4	EX_cortical	random hexamer	730
C_4	EX_hippocampus_granule	poly(dT)	28
C_4	EX_hippocampus_granule	random hexamer	40
C_4	EX_hippocampus_pyramidal	poly(dT)	32
C_4	EX_hippocampus_pyramidal	random hexamer	28
C_4	EX_thalamus	poly(dT)	12
C_4	EX_thalamus	random hexamer	8
C_4	INH_medium_spiny	poly(dT)	200
C_4	INH_medium_spiny	random hexamer	206
C_4	INH_midbrain	poly(dT)	120
C_4	INH_midbrain	random hexamer	130
C_4	INH_migrating_interneuron	poly(dT)	156
C_4	INH_migrating_interneuron	random hexamer	160
C_4	ODC	poly(dT)	62
C_4	ODC	random hexamer	54
C_5	ASC	poly(dT)	78
C_5	ASC	random hexamer	106
C_5	EX_cerebellum_granule	poly(dT)	70
C_5	EX_cerebellum_granule	random hexamer	90
C_5	EX_cortical	poly(dT)	342
C_5	EX_cortical	random hexamer	304
C_5	EX_hippocampus_granule	poly(dT)	54
C_5	EX_hippocampus_granule	random hexamer	52
C_5	EX_hippocampus_pyramidal	poly(dT)	36
C_5	EX_hippocampus_pyramidal	random hexamer	10
C_5	EX_thalamus	poly(dT)	16
C_5	EX_thalamus	random hexamer	16
C_5	INH_medium_spiny	poly(dT)	138
C_5	INH_medium_spiny	random hexamer	108
C_5	INH_midbrain	poly(dT)	106
C_5	INH_midbrain	random hexamer	116
C_5	INH_migrating_interneuron	poly(dT)	82
C_5	INH_migrating_interneuron	random hexamer	64
C_5	ODC	poly(dT)	54
C_5	ODC	random hexamer	48
C_6	ASC	poly(dT)	108
C_6	ASC	random hexamer	92
C_6	EX_cerebellum_granule	poly(dT)	70
C_6	EX_cerebellum_granule	random hexamer	70
C_6	EX_cortical	poly(dT)	432
C_6	EX_cortical	random hexamer	343
C_6	EX_hippocampus_granule	poly(dT)	22
C_6	EX_hippocampus_granule	random hexamer	28
C_6	EX_hippocampus_pyramidal	poly(dT)	24
C_6	EX_hippocampus_pyramidal	random hexamer	20
C_6	EX_thalamus	poly(dT)	15
C_6	EX_thalamus	random hexamer	14
C_6	INH_medium_spiny	poly(dT)	142
C_6	INH_medium_spiny	random hexamer	92
C_6	INH_midbrain	poly(dT)	95
C_6	INH_midbrain	random hexamer	102
C_6	INH_migrating_interneuron	poly(dT)	99
C_6	INH_migrating_interneuron	random hexamer	90
C_6	ODC	poly(dT)	64
C_6	ODC	random hexamer	50
C_7	ASC	poly(dT)	32
C_7	ASC	random hexamer	28
C_7	EX_cerebellum_granule	poly(dT)	20
C_7	EX_cerebellum_granule	random hexamer	34
C_7	EX_cortical	poly(dT)	64
C_7	EX_cortical	random hexamer	60
C_7	EX_hippocampus_granule	poly(dT)	8
C_7	EX_hippocampus_granule	random hexamer	4
C_7	EX_hippocampus_pyramidal	poly(dT)	6
