event	subject	cell_type	primer	spliced_umis
Agtpbp1	D_5	INH_midbrain	poly(dT)	2
Agtpbp1	D_5	INH_migrating_interneuron	poly(dT)	8
Agtpbp1	D_5	INH_migrating_interneuron	random hexamer	1
Agtpbp1	D_6	ASC	poly(dT)	7
Agtpbp1	D_6	ASC	random hexamer	4
Agtpbp1	D_6	EX_cerebellum_granule	poly(dT)	7
Agtpbp1	D_6	EX_cerebellum_granule	random hexamer	15
Agtpbp1	D_6	EX_cortical	poly(dT)	24
Agtpbp1	D_6	EX_cortical	random hexamer	41
Agtpbp1	D_6	EX_hippocampus_granule	poly(dT)	4
Agtpbp1	D_6	EX_hippocampus_granule	random hexamer	4
Agtpbp1	D_6	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	D_6	EX_hippocampus_pyramidal	random hexamer	9
Agtpbp1	D_6	INH_medium_spiny	poly(dT)	4
Agtpbp1	D_6	INH_medium_spiny	random hexamer	3
Agtpbp1	D_6	INH_midbrain	poly(dT)	5
Agtpbp1	D_6	INH_midbrain	random hexamer	11
Agtpbp1	D_6	INH_migrating_interneuron	poly(dT)	7
Agtpbp1	D_6	INH_migrating_interneuron	random hexamer	3
Agtpbp1	D_6	ODC	poly(dT)	12
Agtpbp1	D_6	ODC	random hexamer	3
Agtpbp1	D_7	EX_cortical	poly(dT)	6
Agtpbp1	D_7	EX_cortical	random hexamer	2
Agtpbp1	D_7	EX_hippocampus_granule	random hexamer	2
Agtpbp1	D_7	INH_migrating_interneuron	poly(dT)	2
Agtpbp1	D_7	INH_migrating_interneuron	random hexamer	1
Agtpbp1	D_8	ASC	poly(dT)	1
Agtpbp1	D_8	EX_cerebellum_granule	poly(dT)	5
Agtpbp1	D_8	EX_cerebellum_granule	random hexamer	2
Agtpbp1	D_8	EX_cortical	poly(dT)	14
Agtpbp1	D_8	EX_cortical	random hexamer	13
Agtpbp1	D_8	EX_hippocampus_granule	random hexamer	9
Agtpbp1	D_8	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	D_8	INH_medium_spiny	poly(dT)	3
Agtpbp1	D_8	INH_medium_spiny	random hexamer	3
Agtpbp1	D_8	INH_midbrain	poly(dT)	4
Agtpbp1	D_8	INH_midbrain	random hexamer	4
Agtpbp1	D_8	INH_migrating_interneuron	poly(dT)	9
Agtpbp1	D_8	INH_migrating_interneuron	random hexamer	9
