test_id	feature_type	primer	n_features	rank_correlation
ENSMUSG00000024109.19:B1	exon	random hexamer	21	0.19047619047619047
ENSMUSG00000024109.19:B1	junction	random hexamer	23	0.23337149860723144
ENSMUSG00000024109.19:B2	exon	poly(dT)	1	-0.7714285714285715
ENSMUSG00000024109.19:B2	exon	random hexamer	1	0.7
ENSMUSG00000024109.19:B2	junction	poly(dT)	2	-0.2285714285714286
ENSMUSG00000024109.19:B2	junction	random hexamer	2	0.44999999999999996
ENSMUSG00000024163.18:B1	exon	poly(dT)	2	-0.2285714285714286
ENSMUSG00000024163.18:B1	exon	random hexamer	2	0.14285714285714285
ENSMUSG00000024163.18:B2	exon	random hexamer	1	0.4285714285714286
ENSMUSG00000024163.18:B2	junction	random hexamer	3	0.6571428571428571
ENSMUSG00000024163.18:B3	exon	random hexamer	1	0.6
ENSMUSG00000024163.18:B3	junction	random hexamer	2	0.7142857142857144
ENSMUSG00000024163.18:B4	exon	poly(dT)	1	0.4285714285714286
ENSMUSG00000024163.18:B4	exon	random hexamer	1	0.6
ENSMUSG00000024163.18:B4	junction	poly(dT)	3	0.5047619047619049
ENSMUSG00000024163.18:B4	junction	random hexamer	3	0.3333333333333334
ENSMUSG00000024163.18:B5	exon	random hexamer	1	0.8285714285714287
ENSMUSG00000024163.18:B5	junction	random hexamer	2	0.14285714285714288
ENSMUSG00000024163.18:B6	exon	random hexamer	1	-0.2732295333235123
ENSMUSG00000024268.17:B1	exon	random hexamer	1	0.028571428571428574
ENSMUSG00000024393.15:B1	exon	random hexamer	2	0.028571428571428574
ENSMUSG00000024393.15:B1	junction	random hexamer	1	-0.3714285714285715
ENSMUSG00000024498.17:B1	exon	random hexamer	1	-0.39999999999999997
ENSMUSG00000024743.17:B1	exon	random hexamer	1	-0.5
ENSMUSG00000024743.17:B2	exon	random hexamer	2	-0.2
ENSMUSG00000024743.17:B2	junction	random hexamer	4	0.14223484624842286
ENSMUSG00000024743.17:B3	exon	random hexamer	1	-0.642857142857143
ENSMUSG00000024758.16:B1	exon	random hexamer	1	-0.39999999999999997
ENSMUSG00000024921.18:B1	exon	poly(dT)	28	0.13409059259894895
ENSMUSG00000024921.18:B1	exon	random hexamer	28	-0.042857142857142864
ENSMUSG00000024921.18:B1	junction	poly(dT)	27	0.16242757126014512
ENSMUSG00000024921.18:B1	junction	random hexamer	27	-0.02433862433862433
ENSMUSG00000024921.18:B3	exon	poly(dT)	3	0.3523809523809524
ENSMUSG00000024921.18:B3	exon	random hexamer	3	-0.08571428571428569
ENSMUSG00000025266.12:B1	exon	poly(dT)	1	1.0
ENSMUSG00000025266.12:B1	junction	poly(dT)	2	0.25
ENSMUSG00000025369.16:B1	exon	random hexamer	1	0.48571428571428577
ENSMUSG00000025372.17:B1	exon	random hexamer	1	0.6
ENSMUSG00000025372.17:B1	junction	random hexamer	2	0.44999999999999996
ENSMUSG00000025372.17:B2	junction	random hexamer	1	0.19999999999999998
ENSMUSG00000025404.16:B3	exon	random hexamer	1	0.6
ENSMUSG00000025404.16:B3	junction	random hexamer	3	0.44761904761904764
ENSMUSG00000025422.11:B1	exon	poly(dT)	1	-0.3142857142857143
ENSMUSG00000025422.11:B1	exon	random hexamer	1	0.5952380952380953
ENSMUSG00000025422.11:B1	junction	poly(dT)	3	-0.25316738757100804
ENSMUSG00000025422.11:B1	junction	random hexamer	3	-0.06780390226278665
ENSMUSG00000025576.18:B1	exon	random hexamer	3	0.11393370341761296
ENSMUSG00000025576.18:B1	junction	random hexamer	2	0.07090055512641943
ENSMUSG00000025576.18:B4	exon	poly(dT)	1	0.7999999999999999
ENSMUSG00000025576.18:B4	junction	poly(dT)	2	0.674341649025257
ENSMUSG00000025656.18:B1	exon	random hexamer	8	0.3827112823047899
ENSMUSG00000025656.18:B1	junction	random hexamer	5	0.4272739385838431
ENSMUSG00000025658.17:B1	exon	poly(dT)	3	-0.08571428571428573
ENSMUSG00000025658.17:B1	exon	random hexamer	3	0.20000000000000004
ENSMUSG00000025658.17:B1	junction	poly(dT)	3	-0.028571428571428577
ENSMUSG00000025658.17:B1	junction	random hexamer	3	0.19999999999999998
ENSMUSG00000026219.15:B1	exon	poly(dT)	2	0.25
ENSMUSG00000026219.15:B1	exon	random hexamer	2	0.5
ENSMUSG00000026219.15:B1	junction	poly(dT)	1	-0.5
ENSMUSG00000026219.15:B1	junction	random hexamer	2	0.6830127018922194
ENSMUSG00000026442.15:B1	exon	random hexamer	2	0.6000000000000001
ENSMUSG00000026442.15:B1	junction	random hexamer	2	0.742857142857143
ENSMUSG00000026490.19:B2	exon	poly(dT)	1	0.39285714285714296
ENSMUSG00000026490.19:B2	junction	poly(dT)	3	0.29761904761904767
ENSMUSG00000026504.18:B1	exon	random hexamer	1	-0.7999999999999999
ENSMUSG00000026504.18:B1	junction	random hexamer	2	-0.09999999999999999
ENSMUSG00000026587.16:B1	exon	random hexamer	1	-0.3714285714285715
ENSMUSG00000026761.13:B1	exon	random hexamer	1	1.0
ENSMUSG00000026797.17:B1	exon	poly(dT)	1	-0.7999999999999999
