test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000038860.16:B1	wild_cluster	0.0049107232265756	0.11964066966108616	2448	2	>20	0.5022671851566346
ENSMUSG00000038860.16:B2	wild_cluster	2.6104310629694727e-28	0.16023007395234182	1216	1	>20	0.5555320725532211
ENSMUSG00000042472.12:B1	wild_cluster	2.0954705692251505e-19	0.11997019374068554	2683	12	>20	0.502710923771604
ENSMUSG00000042472.12:B2	wild_cluster	0.2206569205513736	0.5761942887643449	3746	8	>20	0.8242881353915404
ENSMUSG00000054162.16:B1	wild_cluster	0.6900783065809888	0.780327868852459	304	6	6-10	0.9271429497100078
ENSMUSG00000054162.16:B2	wild_cluster	1.0	1.0	544	3	6-10	1.0
ENSMUSG00000071847.14:B1	wild_cluster	0.6766409509199994	0.45733407696597883	1792	1	1-5	0.7478502634623869
ENSMUSG00000071847.14:B2	wild_cluster	1.0	1.0	788	2	1-5	1.0
ENSMUSG00000001441.14:B1	wild_cluster	0.9999999999999865	0.9833551524219188	5346	6	>20	1.0
ENSMUSG00000003762.14:B1	wild_cluster	0.0699741195020124	0.22212880443921304	5946	4	>20	0.5952428278009673
ENSMUSG00000005893.15:B1	wild_cluster	9.92280106081965e-24	0.018160284247927358	2532	3	11-20	0.4062768507212951
ENSMUSG00000009575.15:B1	wild_cluster	5.4681161339130544e-21	0.11177347242921014	2683	12	>20	0.4884109320544863
ENSMUSG00000015597.18:B1	wild_cluster	1.5372429187867665e-11	0.11422471310381639	3746	8	>20	0.4947843626520176
ENSMUSG00000018411.18:B1	wild_cluster	0.0891343771199625	0.372358331774827	5346	6	>20	0.6986773710662167
ENSMUSG00000020132.11:B1	wild_cluster	0.9977552430435372	0.94551874894905	5946	4	>20	1.0
ENSMUSG00000020589.18:B1	wild_cluster	1.0	1.0	3121	10	>20	1.0
ENSMUSG00000020992.6:B1	wild_cluster	0.1622058832789368	0.44230409575462876	5346	6	>20	0.7380557778031775
ENSMUSG00000021514.19:B1	wild_cluster	0.5071614327938043	0.46774901272487934	4557	3	>20	0.7552582908555564
ENSMUSG00000022142.9:B1	wild_cluster	0.7812636381299932	0.6514500537056928	3723	2	11-20	0.8611870633449005
ENSMUSG00000022607.19:B1	wild_cluster	0.1797508463203287	0.24785626786443446	2448	2	>20	0.6157545447481213
ENSMUSG00000023150.15:B1	wild_cluster	3.652892271713143e-33	0.028521281263712155	4557	3	>20	0.4135401864624129
ENSMUSG00000024393.15:B1	wild_cluster	3.990488862808837e-34	0.08771929824561403	740	11	>20	0.47479339520313996
ENSMUSG00000024867.15:B1	wild_cluster	9.006839235200568e-19	0.019674556213017752	6759	5	>20	0.4062768507212951
ENSMUSG00000025332.15:B1	wild_cluster	3.0717943895034364e-06	0.07482764419034807	5946	4	>20	0.46652275045909
ENSMUSG00000026027.14:B1	wild_cluster	3.3129179507759976e-11	0.054629223343571745	4557	3	>20	0.452113975360941
ENSMUSG00000026575.16:B1	wild_cluster	0.0033971141295094	0.12544139902471835	5946	4	>20	0.5122570585627588
ENSMUSG00000026970.17:B1	wild_cluster	0.0111629716007663	0.09593367548361627	2532	3	11-20	0.4808925487948958
ENSMUSG00000027598.17:B1	wild_cluster	0.959801185105114	0.8874260355029586	6759	5	>20	0.9755122731311674
ENSMUSG00000028127.11:B1	wild_cluster	0.0725424291147708	0.22720962517353077	2160	4	11-20	0.600577863032669
ENSMUSG00000028683.15:B1	wild_cluster	5.880664354202984e-21	0.01819526627218935	6759	5	>20	0.4062768507212951
ENSMUSG00000029148.16:B1	wild_cluster	0.6199293683380758	0.4946836788942052	3761	1	11-20	0.7690532828804467
ENSMUSG00000029608.11:B1	wild_cluster	0.0459052175398924	0.40832666132906326	3746	8	>20	0.7195945688455408
ENSMUSG00000030232.19:B1	wild_cluster	8.13454968770397e-10	0.381294964028777	416	12	11-20	0.7068827810223963
ENSMUSG00000030930.15:B1	wild_cluster	0.4931888437455229	0.4011164274322169	3761	1	11-20	0.7182190521974527
ENSMUSG00000031600.12:B1	wild_cluster	1.8859573915145928e-17	0.1229247615683504	2830	7	>20	0.5093893256134963
ENSMUSG00000032482.10:B2	wild_cluster	0.6177729774817583	0.6199704142011835	6759	5	>20	0.8465248834055134
ENSMUSG00000033066.18:B1	wild_cluster	9.043014430177363e-37	0.17872340425531916	704	24	>20	0.5657685214340336
ENSMUSG00000034022.9:B1	wild_cluster	0.9924058714006638	0.9372674109516215	3761	1	11-20	0.9984605868915336
ENSMUSG00000034771.16:B1	wild_cluster	0.9315289171782004	0.8489179256839526	2448	2	>20	0.9566832218194469
ENSMUSG00000035614.12:B1	wild_cluster	8.076105364494124e-43	0.004289940828402367	6759	5	>20	0.4062768507212951
ENSMUSG00000036529.18:B1	wild_cluster	0.0002800844103244	0.23101377605086543	2830	7	>20	0.6029714596284065
ENSMUSG00000037348.16:B1	wild_cluster	0.7661374611783367	0.6166932482721956	3761	1	11-20	0.8459953694664747
ENSMUSG00000038102.16:B1	wild_cluster	0.52200167887903	0.5096687405414495	5946	4	>20	0.778598029491237
ENSMUSG00000038594.10:B1	wild_cluster	0.988144122746386	0.8008923591745678	1792	1	1-5	0.9376823398352111
ENSMUSG00000039474.14:B1	wild_cluster	0.8382624658047891	0.7011448874851954	2532	3	11-20	0.8867992710590356
ENSMUSG00000040412.18:B1	wild_cluster	1.088898824970145e-23	0.05634953042057983	2448	2	>20	0.4544382237867946
ENSMUSG00000041216.16:B1	wild_cluster	1.348601318509612e-16	0.12645708230307312	2830	7	>20	0.5140667292769858
ENSMUSG00000042249.12:B1	wild_cluster	0.1968177677803192	0.4669908359827941	5346	6	>20	0.7545765594369465
ENSMUSG00000044033.17:B1	wild_cluster	7.35619274322707e-06	0.047058823529411764	84	4	1-5	0.43963983201651363
ENSMUSG00000046699.15:B1	wild_cluster	0.1001809278278808	0.26787181594083814	1216	1	>20	0.6272006702055247
ENSMUSG00000049122.18:B1	wild_cluster	0.8931835988047171	0.7931110136024572	4557	3	>20	0.9346886506019608
ENSMUSG00000051768.10:B1	wild_cluster	1.97427571524354e-62	0.10599835661462613	1216	1	>20	0.48437906196632813
ENSMUSG00000054013.7:B1	wild_cluster	7.60922187951332e-55	0.007585899152164213	2240	1	6-10	0.4062768507212951
ENSMUSG00000056268.16:B1	wild_cluster	0.5360787095601144	0.7923907937999061	2128	9	>20	0.9346886506019608
ENSMUSG00000058301.9:B1	wild_cluster	0.9991041964248	0.95274928535396	5946	4	>20	1.0
ENSMUSG00000060548.14:B1	wild_cluster	0.2791946390220354	0.23512123438648053	1360	2	6-10	0.6069675258586653
ENSMUSG00000062825.16:B1	wild_cluster	0.4475280850977097	0.5146406388642414	1126	5	11-20	0.7816720007935136
ENSMUSG00000071337.12:B1	wild_cluster	4.027937604457865e-30	0.06958671847403744	2830	7	>20	0.46225881142269104
ENSMUSG00000078886.13:B1	wild_cluster	0.9213665053117548	0.8366680277664352	2448	2	>20	0.950268718262156
ENSMUSG00000089982.8:B1	wild_cluster	0.3557846685087487	0.28495481127060074	3761	1	11-20	0.6400085061137692
ENSMUSG00000109321.2:B1	wild_cluster	0.052135803510813	0.18187801667397982	4557	3	>20	0.5683806404358454
ENSMUSG00000026632.18:B1	wild_cluster	0.0009249004478196	0.10761728602656802	5946	4	>20	0.4860396790295065
ENSMUSG00000026632.18:B2	wild_cluster	0.5988042533950211	0.7651454496930878	3746	8	>20	0.9206736993867843
ENSMUSG00000026632.18:B3	wild_cluster	0.2020055284433549	0.31663023373129306	5946	4	>20	0.6694000889983547
ENSMUSG00000026632.18:B4	wild_cluster	0.0013463885950435	0.11282999831847991	5946	4	>20	0.4920702450937978
ENSMUSG00000039205.17:B1	wild_cluster	0.000504372057118	0.3536871770784406	2128	9	>20	0.6901662899376
ENSMUSG00000039205.17:B2	wild_cluster	0.0219899026666845	0.15160157964019308	4557	3	>20	0.5461060912139113
ENSMUSG00000039205.17:B3	wild_cluster	0.0215313841763668	0.15160157964019308	4557	3	>20	0.5461060912139113
ENSMUSG00000039205.17:B5	wild_cluster	0.0110038633083279	0.13602457218078104	4557	3	>20	0.5261217052794015
ENSMUSG00000014959.13:B1	wild_cluster	0.6995375557113932	0.6070645019745502	4557	3	>20	0.8409380334851824
ENSMUSG00000014959.13:B2	wild_cluster	0.0322557077411757	0.16388767003071522	4557	3	>20	0.5568066738432305
ENSMUSG00000014959.13:B3	wild_cluster	0.4193670546788049	0.5921158487530169	1242	6	11-20	0.8335269171415081
ENSMUSG00000023452.20:B1	wild_cluster	0.5905093036664577	0.6985225360014962	5346	6	>20	0.8853733723811289
ENSMUSG00000023452.20:B2	wild_cluster	0.9561302429902682	0.8731899956121105	4557	3	>20	0.9699232097649853
ENSMUSG00000023452.20:B3	wild_cluster	0.9561301072823792	0.8731899956121105	4557	3	>20	0.9699232097649853
ENSMUSG00000028782.15:B1	wild_cluster	0.0001845485597137	0.6945551128818062	752	16	>20	0.882721726200511
ENSMUSG00000028782.15:B3	wild_cluster	0.0001848923190516	0.6945551128818062	752	16	>20	0.882721726200511
ENSMUSG00000028782.15:B4	wild_cluster	0.6827719451373967	0.7985054710435014	3746	8	>20	0.9370202047977993
ENSMUSG00000035203.17:B1	wild_cluster	0.013044971479773	0.4516335682254965	3121	10	>20	0.7428045572611157
ENSMUSG00000035203.17:B2	wild_cluster	0.00537030018456	0.1408284023668639	6759	5	>20	0.5333619807421563
ENSMUSG00000035203.17:B3	wild_cluster	0.0064099529578026	0.14497041420118342	6759	5	>20	0.5379116859054327
ENSMUSG00000049336.17:B1	wild_cluster	0.3454276411099817	0.647985054710435	3746	8	>20	0.8590133251958092
ENSMUSG00000049336.17:B2	wild_cluster	0.0546925232053131	0.4235388310648519	3746	8	>20	0.7273766167945818
ENSMUSG00000049336.17:B3	wild_cluster	4.137538111122173e-64	0.0026560424966799467	752	16	>20	0.4062768507212951
ENSMUSG00000003233.13:B1	wild_cluster	0.0034368995686385	0.11476168440536788	2160	4	11-20	0.4956821984124159
ENSMUSG00000003233.13:B2	wild_cluster	0.7771487213168183	0.647422126745435	3723	2	11-20	0.8588955089605712
ENSMUSG00000019647.17:B1	wild_cluster	0.3218434771976816	0.6938775510204082	48	12	1-5	0.882721726200511
