test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000070304.13:B1	True	True	True	True	2211.034562113059	2211.046009768879	2210.445868247156	2210.4400917210646	1.1773877318064478	1.211836095628314	0.034448363821866224	8.998329629404263e-06	9.798657191195754e-06	8.593202478764217e-15	1.0415058688366594e-14	49	21	51	24	36	47
ENSMUSG00000027642.16:B1	True	True	True	True	2186.6482426937705	2186.6483164474043	2182.3488008967693	2182.348710621036	8.598883594002473	8.599211652736813	0.0003280587343397201	6.892551915160041e-06	8.735070525631672e-06	1.5927500447042493e-14	6.294017797226076e-15	35	58	39	61	34	53
ENSMUSG00000048756.12:B2	True	True	True	True	1485.318550849815	1485.3195741600152	1483.884840837999	1483.885622995722	2.867420023631894	2.867902328586297	0.0004823049544029345	2.7902526335406906e-06	9.949418720402232e-06	1.6020651826169466e-15	1.0288849051802111e-15	44	28	50	29	43	28
ENSMUSG00000024500.21:B2	True	True	True	True	1724.4064913587076	1724.4064953048367	1723.33806274076	1723.3376435648722	2.1368572358951496	2.1377034799288595	0.0008462440337098087	6.733921319449316e-06	9.728392590285402e-06	1.3726862448703078e-16	3.064747636722449e-16	23	22	24	23	23	28
ENSMUSG00000055371.18:B1	True	True	True	True	1513.4139773339828	1513.4140355914665	1511.2735836208024	1511.2764005919732	4.280787426360803	4.2752699989864595	0.005517427374343242	9.274823718256237e-06	5.607925858435295e-06	1.0219706213184613e-15	2.8602456849731313e-15	42	67	45	75	42	57
ENSMUSG00000034891.14:B1	True	True	True	True	3621.033340785499	3621.0335340435004	3615.852989144535	3615.8530208675015	10.360703281928181	10.36102635199768	0.0003230700694984989	4.70439642940673e-06	7.7341961321671e-06	2.852110410595077e-14	1.8096541377041012e-14	39	37	39	41	37	36
ENSMUSG00000045349.16:B1	False	False	False	False	4621.267383331919	4621.4574447343	4621.267383330763	4621.457444734278	2.3119355319067836e-09	4.3655745685100555e-11	2.268279786221683e-09	1782.712667339604	1827.073309262323	6.57688246977513e-05	6.576882470632095e-05	9	0	124	30	6	1
ENSMUSG00000026553.18:B1	True	True	True	True	2662.9431879586787	2662.9432953238247	2657.934750256218	2657.933130988446	10.016875404920938	10.020328670757408	0.0034532658364696545	9.353560207000685e-06	7.892374338821078e-06	1.195517407959451e-14	8.124746507382518e-15	76	53	78	56	80	63
ENSMUSG00000035024.17:B2	True	True	True	True	2551.798835469067	2551.7988654653386	2551.605655869298	2551.6058586050517	0.38635919953776465	0.3860137205738283	0.0003454789639363298	4.657671080070046e-06	5.912846493804871e-06	1.645047571853064e-14	1.526698704677685e-14	33	13	35	14	29	10
ENSMUSG00000116894.2:B1	True	True	True	True	1823.2340499097536	1823.230624693066	1823.2340499180054	1823.2306247017477	0.0	0.0	0.0	5.3964079093470086e-06	8.133703888857663e-06	1.5400289401459854e-19	1.9049884304193725e-19	12	0	12	0	14	0
ENSMUSG00000036622.16:B1	True	True	True	True	3144.032308862693	3144.0309711317072	3142.302121018675	3142.277595492746	3.460375688036038	3.506751277922376	0.046375589886338275	7.963696497742097e-06	9.241854497215826e-06	1.2414365277165355e-14	1.442928583180295e-14	75	62	77	68	85	55
