test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000031708.18:B2	True	True	True	True	1454.3113185799375	1454.3113163358116	1450.0107542744709	1450.0109868979553	8.601128610933301	8.600658875712725	0.0004697352205766947	4.027906203806407e-06	9.410030661624506e-06	1.1546319456101628e-14	4.440892098500626e-15	22	30	25	31	24	25
ENSMUSG00000070304.13:B1	True	True	True	True	2211.0345621130596	2211.046009768879	2210.4458682471563	2210.4400917210655	1.1773877318064478	1.211836095626495	0.034448363820047234	8.998329633874686e-06	9.798657190405589e-06	9.769962616701378e-15	5.995204332975845e-15	49	21	51	24	36	47
ENSMUSG00000027642.16:B1	True	True	True	True	2186.6482426937705	2186.648316447404	2182.3488008967656	2182.3487106314487	8.598883594009749	8.599211631910293	0.0003280379005445866	6.8925519146549485e-06	8.735072901576962e-06	4.6629367034256575e-15	1.865174681370263e-14	35	58	39	61	34	53
ENSMUSG00000048756.12:B2	True	True	True	True	1485.3185508498152	1485.3195741600155	1483.8848408379968	1483.885622995722	2.867420023636896	2.8679023285867515	0.000482304949855461	2.7902526273634614e-06	9.94941897087629e-06	1.1379786002407855e-15	6.661338147750939e-16	44	28	50	29	43	28
ENSMUSG00000024500.21:B2	True	True	True	True	1724.406491358708	1724.406495304837	1723.3380627407632	1723.3376435648713	2.1368572358896927	2.137703479931588	0.000846244041895261	6.733921319449316e-06	9.728392652212184e-06	2.220446049250313e-16	3.774758283725532e-15	23	22	24	23	23	28
ENSMUSG00000055371.18:B1	True	True	True	True	1513.4139773339973	1513.4140355914665	1511.2735597207532	1511.2764006159598	4.280835226488307	4.2752699510133425	0.005565275474964437	9.274822779076666e-06	3.6899018643933507e-06	1.7763568394002505e-15	1.3322676295501878e-15	42	68	45	77	42	57
ENSMUSG00000034891.14:B1	True	True	True	True	3621.0333407854996	3621.033534043501	3615.852989144534	3615.8530208675006	10.36070328193091	10.361026352000408	0.0003230700694984989	4.704396429414329e-06	7.734196070041693e-06	5.906386491005833e-14	2.9531932455029164e-14	39	37	39	41	37	36
ENSMUSG00000045349.16:B1	False	False	False	False	4621.26738335541	4621.45744474158	4621.267383353727	4621.457444741566	3.3651303965598345e-09	2.7284841053187847e-11	3.3378455555066466e-09	1782.7125005816358	1827.0731421592905	6.576882442854703e-05	6.576882445052945e-05	9	0	124	30	6	1
ENSMUSG00000026553.18:B1	True	True	True	True	2662.9431879563285	2662.9432953237606	2657.9334820905506	2657.933218638653	10.01941173155592	10.020153370214757	0.0007416386588374735	9.353576774478762e-06	9.996300410052481e-06	2.2648549702353193e-14	1.354472090042691e-14	76	60	78	61	80	62
ENSMUSG00000035024.17:B2	True	True	True	True	2551.798835469067	2551.798865465339	2551.605655869298	2551.6058586050517	0.38635919953776465	0.3860137205747378	0.0003454789630268351	4.657671079930655e-06	5.912846493889223e-06	1.532107773982716e-14	8.659739592076221e-15	33	13	35	14	29	10
ENSMUSG00000116894.2:B1	True	True	True	True	1823.2340499097538	1823.2306246930664	1823.2340499180054	1823.2306247017477	0.0	0.0	0.0	5.396407909377907e-06	8.133703888904232e-06	4.336808689942018e-19	6.776263578034403e-21	12	0	12	0	14	0
ENSMUSG00000036622.16:B1	True	True	True	True	3144.032308862826	3144.030971131707	3142.3021206713315	3142.2775956069513	3.460376382989125	3.5067510495109673	0.0463746665218423	7.963696932092559e-06	9.229270991835035e-06	3.68594044175552e-14	2.886579864025407e-14	75	62	77	68	85	55
