test_id	null_type	replicates	observed_statistic	empirical_p_value
ENSG00000080224.17:B1	label_permutation	16	513433.76051556144	0.29411764705882354
ENSG00000080224.17:B1	wild_cluster	16	513433.76051556144	0.23529411764705882
ENSG00000080493.17:B1	label_permutation	16	7860608679.51656	0.058823529411764705
ENSG00000080493.17:B1	wild_cluster	16	7860608679.51656	0.058823529411764705
ENSG00000081248.11:B1	label_permutation	16	2.763144952104866e+28	0.29411764705882354
ENSG00000081248.11:B1	wild_cluster	16	2.763144952104866e+28	0.5882352941176471
ENSG00000081791.9:B1	label_permutation	16	13347106.629226148	0.17647058823529413
ENSG00000081791.9:B1	wild_cluster	16	13347106.629226148	0.11764705882352941
ENSG00000083828.16:B1	label_permutation	16	2300.418702161606	1.0
ENSG00000083828.16:B1	wild_cluster	16	2300.418702161606	0.11764705882352941
ENSG00000084676.15:B1	label_permutation	16	-32357656643.71981	0.9411764705882353
ENSG00000084676.15:B1	wild_cluster	16	-32357656643.71981	1.0
ENSG00000085365.18:B1	label_permutation	16	6560303.968157818	0.11764705882352941
ENSG00000085365.18:B1	wild_cluster	16	6560303.968157818	0.058823529411764705
ENSG00000085872.15:B1	label_permutation	16	26.987537186115063	0.8823529411764706
ENSG00000085872.15:B1	wild_cluster	16	26.987537186115063	0.8823529411764706
ENSG00000086189.10:B1	label_permutation	16	3050027819.4147224	0.23529411764705882
ENSG00000086189.10:B1	wild_cluster	16	3050027819.4147224	0.058823529411764705
ENSG00000086544.3:B1	label_permutation	16	12.661652580175929	0.4117647058823529
ENSG00000086544.3:B1	wild_cluster	16	12.661652580175929	0.4117647058823529
ENSG00000086827.9:B1	label_permutation	16	107.31941610569032	0.9411764705882353
ENSG00000086827.9:B1	wild_cluster	16	107.31941610569032	0.7647058823529411
ENSG00000086827.9:B2	label_permutation	16	17.393270466333725	0.47058823529411764
ENSG00000086827.9:B2	wild_cluster	16	17.393270466333725	0.7058823529411765
ENSG00000089048.14:B1	label_permutation	16	302.8868062899581	0.058823529411764705
ENSG00000089048.14:B1	wild_cluster	16	302.8868062899581	0.058823529411764705
ENSG00000089248.7:B1	label_permutation	16	102353674445.41412	0.058823529411764705
ENSG00000089248.7:B1	wild_cluster	16	102353674445.41412	0.058823529411764705
ENSG00000089682.16:B1	label_permutation	16	3406.659310529529	0.7058823529411765
ENSG00000089682.16:B1	wild_cluster	16	3406.659310529529	0.8235294117647058
ENSG00000090020.11:B1	label_permutation	15	11785599078.12791	0.625
ENSG00000090020.11:B1	wild_cluster	16	11785599078.12791	0.058823529411764705
ENSG00000090376.10:B1	label_permutation	16	0.2269562174107062	1.0
ENSG00000090376.10:B1	wild_cluster	16	0.2269562174107062	0.9411764705882353
ENSG00000090565.16:B1	label_permutation	16	2122133.6530664302	0.6470588235294118
ENSG00000090565.16:B1	wild_cluster	16	2122133.6530664302	0.5294117647058824
ENSG00000090971.5:B1	label_permutation	16	9462408.695459438	0.5294117647058824
ENSG00000090971.5:B1	wild_cluster	16	9462408.695459438	0.17647058823529413
ENSG00000091879.13:B1	label_permutation	16	91570.5211747286	0.23529411764705882
